SMILES,shift_value
[H]C1=C(C(F)F)N(C2=CC=CC=C2)N=C1C1=CC=CC=C1,-110.0
CC1CC(O)NC(C(F)(F)F)N1,-71.09
CC(NC(=O)C1CCCCC1F)C1CC1,-115.95
O=C1NCCC[C@@H]1NC1NCC(Cl)CC1F,-136.6
C[C@@H](CO)NC1NCC(Cl)CC1F,-136.27
CCOC1OC(-C2CCCCC2)CC1C(F)(F)F,-58.12
CS(=O)(=O)[C@@H]1CNC[C@H]1C(F)(F)F,-69.52
O=C(NCC1CCCC(F)C1)N[C@@H]1C[C@H]2CC[C@@H]1O2,-113.73
CN(C(=O)C1CCC(CO)C(F)C1)C1CC1,-118.7
O=C1CC(C2CCC(F)CC2)CN1,-116.52
CC1CC(C(=O)O)C(C(F)(F)F)O1,-61.73
O=C1CC(OC(F)(F)F)CC[NH]1,-57.58
CS(=O)C(F)(F)F,-80.0
O=C(NCC(F)(F)F)N1CC2CCCCCC21,-73.03
CC(C)(O)C1CCCN1C(=O)CC1CCC(F)CC1Cl,-113.6
FC(F)(F)C1=NC(Cl)=C(Cl)S1,-56.0
N[C@H]1CCN(C(=O)C2CCN(-C3CCCC(F)C3)N2)C1,-111.23
CCOC(=O)/C=C(/F)C1CCCCC1,-96.16
FC(F)C1=CC=CC=C1,-115.0
CC1=CC(C(F)(F)F)=C(C)N1CC(C)C,-56.0
CCC(=O)CC(F)(F)C1=CC=CC=C1,-96.0
CC1CC(F)CCC1NC(=O)CN1CCCN1,-115.48
FC/C=C/C1=CC=CC=C1,-210.0
O=C(C1CC1)N1CCOC2CCC(F)CC21,-122.36
FC1CCCCC1CN1CC(N2CCNN2)C1,-118.31
NC1NC2C(OC(F)F)CCCC2S1,-81.81
CC1CNCCC1NC(=O)C1(CF)CCC1,-219.24
CC1CNCCN1C(=O)C1CC2CC(F)CCC2O1,-119.76
CCF,-212.0
CCCCSC(F)(F)F,-48.0
CC1CNCC(C(=O)NC2(C(F)F)CC2)C1,-120.91
CC(C)(C(=O)N1CCCC(C(=O)O)C1)C1CCCC(F)C1,-112.61
FC(F)(F)C1=CC=CC(C(F)(F)F)=C1,-63.3
C[C@@H]1COCCN1CC1CCNCC1F,-129.95
O=C(N[C@@H]1C=C[C@H](CO)C1)C1C(F)CCCC1Cl,-115.33
CC(C)C1CC(C(=O)N2CCC2C2CCCCC2F)N[NH]1,-119.89
COCCC(F)(F)F,-66.0
CCN(C(=O)C1CCCO1)C1CCC(F)CC1,-113.22
O=C1CN(C2CCCC2)C(=O)N1CC1CCCCC1F,-118.82
CC1(C2CCCC(F)C2)CCNC1,-113.36
OC1CCC(C(F)(F)F)C(O)C1,-60.99
O=C(NC1CCC(F)CC1)C1CCOCC1,-117.38
O=C(NC1(CF)CCC1)C1CCNCC1,-225.01
CC1(NC(=O)NC2CCNCC2F)CCOCC1,-145.44
C#CCC(F)(F)F,-64.0
CC1NOCC1CN1C[C@@H](F)C[C@H]1CO,-167.83
NC1NNC(-C2CCCC(C(F)(F)F)C2)S1,-62.61
CC1NC(CNC2CNCC(F)C2)CS1,-126.71
O=C(NC1NCCS1)C1CCC(C(F)(F)F)NC1=O,-76.66
CC1CCC(NCC2CNNN2C)C(F)C1,-134.38
CC1C(F)CCCC1C(=O)N1CCC[C@@H](C(=O)O)[C@H]1C,-116.05
NC1CCC(OCC(F)(F)F)CC1,-72.7
Cl.NC1CCC2CC(F)CCC21,-113.36
[H]C([H])=C(C(F)(F)F)C(F)(F)F,-65.7
FC(F)(F)C1C(-C2CCCCC2Cl)C(C(F)(F)F)C(-C2CCCCC2Cl)C(C(F)(F)F)C1-C1CCCCC1Cl,-51.29
CC1CCCCC1NC(=O)[C@H]1C[C@H](F)CN1,-175.56
O=C(C1CCC(-C2NOC(C(F)(F)F)N2)CC1)N1CCC1,-65.67
FC1CCC2[NH]CNC2C1,-120.26
NC1CCCN(C2CCC(F)CC2)C1=O,-114.5
O=C(N[C@H]1CCC[C@H]1F)C1CCCCN1,-189.38
O=C(C1CC2CCCC(F)C2O1)N1CCCC1,-137.16
FC1CNC(N2C[C@@H]3C[C@H]2CS3)NC1,-156.52
O=C(COC(F)F)N1CCC2CCCCC21,-84.26
CC1CN(-C2CCC(F)CC2)NC1N,-118.35
FCN1C=NC2=CC=CC=C21,-164.0
O=C(CC1(O)CCC1)N[C@@H]1CCCC[C@H]1F,-176.18
CCC1CCC2[NH]C(C(=O)O)CC2C1F,-128.96
FC(F)(F)C1C(-C2CCCCC2)C(-C2CCCCC2)C(-C2CCCCC2)C(-C2CCCCC2)C1-C1CCC(Cl)CC1,-47.96
O=C(NC1CCC2[NH]C(C(F)F)NC2C1)C1(O)CCCC1,-116.68
CC1NNC(NC(=O)C2CCC(F)CC2Cl)N1C1CC1,-107.04
CC1NC(CN(C)C(=O)C2CC(Cl)CCC2F)NO1,-118.96
CCC1NCCN1CC(F)F,-124.04
CC1CNC(C(C)N2CCC(C(F)(F)F)CC2)O1,-73.52
FC(F)CN1CCN(C2CCCCN2)CC1,-119.67
COC(C)(C(=O)N1CCN2NCCC21)C1CCCCC1F,-114.87
COC1CCC(CC(=O)N2CCC2)CC1F,-136.21
CC1CC(C(=O)N2CC(O)(C(F)F)C2)NS1,-134.57
O=C(C1CC(-C2CCCCC2)C2C(C1O)SCC2)C(F)(F)F,-70.51
[H]N1C2=CC=CC=C2C=C1C(F)F,-110.0
COC1CCC(C(C)(F)F)CC1,-86.4
NC1NCC(CC2CCCCC2F)S1,-119.14
CC(F)F,-110.0
CCNC(=O)N1CCN(CC2CCC(F)CC2C#N)CC1,-112.58
C=C(F)CCCC#N,-97.09
CC1CCC(F)CC1C(=O)N1CCC2CCC(C1)N2.Cl,-116.75
CC1CCCNC1NC(=O)C1CCN(C(F)F)N1,-95.65
O=C1CCCCC1(F)F,-111.0
CC1NNC(N2CCC(CF)CC2)S1,-223.28
O=C1CN(C(=O)C2(C3CCCC(F)C3)CCC2)CCN1,-112.14
CC(C)(O)C1CCCN1C1CCC(C(F)(F)F)CN1,-60.85
OCCCN1CCC2CCC(F)CC2C1,-117.58
CNC1CCCN(S(=O)(=O)C2CC(C)CCC2F)C1.Cl,-114.69
NC(=O)C1CCCCC1NC(=O)C1CCC(F)C(Cl)C1,-111.21
CS(=O)(=O)C(F)(F)F,-81.0
[H]/C(CCC)=C(/[H])CC(F)(F)F,-68.0
CC(C)N1CCN(C2CCCCC2F)CC1,-123.32
CN1NCCC1CN1CCCCC1C(F)F,-123.32
CS(=O)C1NNCN1CC1CCCC(F)C1,-112.71
O=C(O)[C@@H]1CCCC[C@H]1C(F)(F)F,-71.64
FC1(F)OC(F)(F)C(F)(F)OC1(F)F,-91.0
CC(F)(F)F,-65.0
N#CC1CCC(CN2CCCC(C(F)(F)F)C2=O)CC1,-65.37
N#CC1C(N)[NH]C2CC(F)CCC12,-122.85
O=C(N[C@H]1C[C@H]1C(F)F)C1CNNC2CCCCC12,-109.38
CC1CN(CC2CCN(C)C(=O)C2)C2CCC(F)CC2O1,-125.92
CC(=O)NC1CC(C(F)(F)F)NO1,-64.09
O=C1CN(C(=O)NC2CCCC(F)C2)C2CCCCC2N1,-112.81
O=S(=O)(O)C(F)F,-121.0
C[Si](C)(C)C(F)F,-140.0
OC1CC(O)C(F)CC1F,-145.61
OC1(CNC2NCCCC2F)CCSC1,-139.39
O=S(=O)(CC1CCC(F)CC1)N1CCCC1,-113.46
CC1NOC(NC(=O)C2CCCC(C(F)(F)F)C2)N1,-62.36
CC1CCCCC1F,-117.8
O=C(NC1CCNCC1F)N1CCOCC1C1CC1,-141.0
CC(C)C(=O)CC(F)(F)N=[N+]=[N-],-70.0
CC1CN(C(=O)C2CCCCC2F)CC(C)O1,-116.74
CC1CC(C(=O)NC2CC(C(N)=O)N(C)C2)CCC1F,-110.51
CC1CC(N2CCCC(F)C2)NCN1,-184.31
CN1CCC(NC(=O)C2CCCCC2C(F)(F)F)N1,-59.08
O=C(C1CCCO1)N1CCCSC2CCC(F)CC21,-111.43
O=C(NCC1CCCCC1F)C1CCC1,-119.43
FC(F)C1=CC2=CC=CC=C2O1,-115.0
CCOC(=O)C(F)(Br)SCC,-81.0
CN(C)C(=O)CC(F)(F)F,-63.0
NS(=O)(=O)C1CCC(F)CC1,-106.08
[H]C([H])=C(C(=O)C1=CC=CC=C1)C(F)(F)F,-64.0
C[Si](C)(C)C(F)(F)[Si](C)(C)C,-137.0
CN1CCNC1CN1CCOC2CCC(F)CC21,-121.06
CC(C)(C(=O)NC1CCNCC1F)C1CCCS1,-138.87
CC1CN(C(N)=O)CCN1CC(F)(F)F,-68.55
OC1CC(C(F)(F)F)NCN1,-70.86
CCOC(=O)CC(N)C(F)(F)F,-79.0
CC1CCC(F)CC1NC(=O)C1(C)COC1,-116.94
NC(=O)CN1CCOC2C(F)CCCC2C1,-134.1
OCC1(C2CCCC(F)C2)CCNC1,-113.09
CC1CCCC(NC(=O)N2CCCC2)C1F,-129.09
FC(F)(F)P(Cl)Cl,-72.0
CCOC(=O)C(F)(Br)SC1=CC=CC=C1,-84.0
CC(C(=O)N1CCCC[C@@H]1C(=O)O)C1CCCCC1F,-118.6
Cl.NC1CCCOC2CCC(F)CC21,-118.36
NC(=O)NC1CCCC2C(F)CCCC21,-118.57
FC1=CC=CC=C1,-113.0
CC1CC(S(N)(=O)=O)CNC1C(F)(F)F,-65.45
COC1CCC(-C2C(-C3CCCCC3)C(-C3CCCCC3)C(-C3CCCCC3)C(-C3CCCCC3)C2C(F)(F)F)CC1,-48.04
FC(F)(F)C1=CC=C(Br)C=C1,-63.3
CN(CC1CCC(F)CC1)C(=O)C1CCC1,-115.78
O=C(NC1CC(=O)N(C2CC2)C1)C1CCCC(Cl)C1F,-118.44
FC(F)(F)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,-63.4
CS(=O)(=O)N1CCN(CCC2CCC(F)CC2)CC1,-117.49
CN(CC1CCCC(F)C1)C(=O)C1CCCC(C#N)C1,-112.96
N#CC1CCC(C(=O)NCC2CCCC(F)C2)CC1,-113.48
COC1CCC(CN(C)C(=O)N2CCOCC2)CC1F,-136.11
FC1=NC=CC=N1,-44.0
CS(=O)(=O)N1CCC(O)(C(F)(F)F)C1,-80.14
O=C(C1CCCCC1OC(F)F)N1CCOC2(CCC2)C1,-82.86
CC1CN(C(=O)C2CCOCC2)C2CCC(F)CC2O1,-114.26
CC1CNCCC2CCC(F)CC21.Cl,-115.75
Cl.FC1CCCCC1CC1CCCCN1,-118.08
CN(C(=O)C1CC(C2CCCC(F)C2)C1)[C@@H]1COC[C@H]1O,-113.99
O=C(NC1CCCC(F)C1)C1(O)CCOC1,-112.26
FC1CCCNC1N1CCCSCC1,-131.69
COC1NCCCC1C(=O)NC1CCCC(F)C1,-111.99
CC(=O)C(F)C1=CC=CC=C1,-183.0
COC(=O)CCCCC(=O)C(F)(F)F,-80.2
O=C(NCC1NC2CC(F)CCC2O1)N1CCSCC1,-117.91
CC(C(N)=O)N1CCC(C2CCCC(F)C2)C1,-113.76
CC1CC(CNC(=O)C2CCN(C)C(=O)C2)CCC1F,-120.54
CC1N[NH]CC1CNC1CCCOC2CCC(F)CC21.Cl,-118.3
CC(F)(F)C1=CC=CC=C1,-87.9
N#CC1CC(F)CCC1CN1CC(N2CCCN2)C1,-112.72
O=C1CN(C(=O)C2CC(-C3CCCC(F)C3)NO2)CCN1,-112.15
CC1CCC(C(=O)NC(C)C2CCCCN2)CC1F,-116.87
O=S(=O)(CC1CCCC1)C1CCC(F)CC1,-104.04
Cl.NC1(C2CCC(C(F)(F)F)CC2)CCC1,-62.35
CC1(C)CN(CC(O)C(F)(F)F)CC1O,-78.82
[H]/C(C(=O)C1=CC=CC=C1)=C(/[H])C(F)(F)F,-66.0
O=C(NC1CCCCC1F)N1CCC(N2CCNN2)CC1,-124.21
O=C(NC1NNC(C(F)(F)F)[NH]1)C1CCCO1,-64.32
O=S(=O)(C1CCCCC1OC(F)(F)F)N1CCCC1,-56.35
CCCCCCCCOC(C(F)(F)F)C(F)(F)F,-74.7
CC1(F)CCN(C(=O)C2CCOC2)C1,-142.01
FC1CCCNC1NCC1CCCCN1,-139.55
FC1=CSC=C1,-131.0
COC1CCCC(C(=O)N2CC(C)C2)C1F,-138.94
CN(CC1CCC(F)CC1Cl)C(=O)[C@@H]1CCCCN1.Cl,-112.51
[H]/C(=N\O)C(F)(F)F,-65.5
O=C(O)C1COC(C(F)F)C1,-114.92
O=C(CC(C(F)(F)F)C(F)(F)F)C1CCC(Cl)CC1,-68.59
CC1CCC(S(=O)(=O)OC(CCC2CCCCC2)C(=O)CC(F)(F)F)CC1,-63.66
Cl.NC1CCCC(C(=O)NCC2CCCC(F)C2)C1,-113.68
CCC1CCCCN1C(=O)NC1CCC(C(N)=O)C(F)C1,-111.12
N#CCCN1CCCC(O)(C(F)(F)F)C1,-83.09
CN1CNCC1CCN1CCCC(C)(F)C1,-148.15
CC1(C)COCCN1C(=O)CC1CCCCC1F,-118.0
CS(=O)(=O)NCCC1C[NH]C2CC(F)CCC12,-122.17
N#CC1CCC(CNC2CCOC2)CC1F,-107.98
[H]/C(C1=CC=CC=C1)=C(/F)C(=O)OCC,-126.0
O=C(CS(=O)C1CCCCC1F)N1CCCCC1,-113.78
COC1CCC(F)C(OC)C1,-146.07
CC1OCNC1C(=O)NC1CCC(S(C)=O)C(F)C1,-112.55
Cl.N[C@H]1CCN(C(=O)C2(C3CCCC(C(F)(F)F)C3)CC2)C1,-62.04
FC(F)C1=NC2=CC=CC=C2C=C1,-111.0
Cl.NC[C@@H]1C[C@H]1C1CCC(C(F)(F)F)CC1,-61.88
CNC1CCC(OC(F)(F)F)CN1,-59.17
CCN(C)C1CCCN(C2CCCC(F)C2)C1=O,-112.09
COC1CCC(F)CC1C(=O)N1CCCO1,-123.17
CC1C(=O)NCCN1CC1CNCC(F)C1,-126.25
CC1NC(C(F)(F)F)CCC1N,-65.72
O=C1C=C(OC(F)F)CCC1,-85.0
CC(O)CC1CCCN1C1NCCCC1F,-132.43
O=C1CN(C2CCC(C(F)(F)F)CN2)C2CCCCC2N1,-60.98
CC1NC(CN2CCCC(C(F)(F)F)C2=O)SC1C,-65.33
CCCCCCCCOC(F)(F)Cl,-27.0
CN(CC1CCCO1)C(=O)C1CCCCC1F,-116.75
N#CCC(=O)N1CCN(CC(F)F)CC1,-119.95
CN1CNC(NC(=O)C2CCCCC2F)N1,-114.65
FC(F)[C@H]1CCCN1CC1CNCS1,-124.34
OC1CCNC(-C2CCCC(F)C2)C1,-112.03
O=C(O)C1CCC(C(F)(F)F)O1,-64.65
CCCCCC(F)(F)P(=O)(OCC)OCC,-112.0
O=C(C1CCCCC1OC(F)F)N1CCSCC1,-82.15
CCC(F)(F)F,-67.0
F[XeH2]F,-183.4
CC1(CNC2CCC(C#N)CC2F)COC1,-134.15
O=C(C(F)(F)F)C(F)(F)F,-84.6
CN1CNCC1CS(=O)(=O)C1CCCCC1F,-110.21
CCCCCCCCC1=CC=C(F)N1C,-143.0
CC1CC(C(F)(F)F)NN1CCC#N,-61.96
NC(=O)CN1CC=C(C(F)(F)F)CC1,-69.18
Cl.O=S1(=O)CCC(NCC(F)(F)F)CC1,-71.61
FC(F)(F)C1=CC=CN=C1,-62.0
CC1NN(-C2CCC(F)CC2)C(C)C1C(=O)NC1CC1,-112.58
NC(=O)C1CNC(NC(=O)C2CCCCC2F)S1,-114.31
FC(F)(F)C1=CN=CN=C1,-62.0
COC1NCCCC1F,-139.68
CC1CC(F)CC2[NH]C(C(=O)N(C)[C@@H]3CCC[C@H]3O)CC12,-117.8
N#CC1CC(F)CCC1N1CCC[C@@H]1CO,-127.58
CC1CC(F)CCC1N1CCCC(NS(C)(=O)=O)C1,-120.9
[H]/C(F)=C(/[H])C(=O)OCCCCCCCCCCCC,-112.0
O=C(O)C1CC(F)CCC1-C1CCOC1,-116.1
COCC(F)F,-126.5
CC1NC(N2CC(CF)C2)CCC1C#N,-227.39
FCCCl,-220.0
CC(C)C1ONC(C(F)(F)F)C1C(=O)O,-63.27
N#CC1CCCC(NC(=O)N2CCCC(C(F)(F)F)C2)C1,-71.56
NS(=O)(=O)C1CC2C(CC1F)NC(=O)CC2,-113.48
C=C(CF)C1=CC=CC=C1,-213.0
FC1(F)CCCCCCCCCCCCCC1,-91.5
FC1CCC(/C=C/C2CCCCC2)CC1,-114.51
COCCC(=O)N1CCC2CCC(F)CC21,-115.36
CC(C)(O)C1CCCN1C(=O)C1CCCC(F)C1Cl,-114.34
CCOC(=O)C(F)(F)C1=CC=CC=C1,-104.0
FC(F)(C1CCCCC1)C1CCCC(Cl)C1,-89.78
NC1CCN(C(=O)C2CC3CC(F)CCC3S2)C1,-117.91
N#CC(F)C1=CC=CC=C1,-168.0
CN1CC(N)C(C(F)(F)F)N1,-60.66
FC(Cl)(Cl)Cl,0.0
CC(C)C1CCOC1C(=O)N1CC(CF)C1,-228.34
FC(F)(F)C1=CC=C(C(F)(F)F)C=C1,-63.5
C[C@@H](CO)N(C)C1CCC(F)CN1,-145.18
CCCC/C=C(\F)CCCC,-110.7
FC1CC(Cl)CNC1N1CCOCC1,-124.91
CN(C)C(=O)C1CN(-C2CCCC(Cl)C2F)NN1,-125.45
CCCCC(Cl)(Cl)C(F)(F)F,-79.68
CN1CCC(NC(=O)C2CC(Cl)CCC2F)N1,-117.32
OC/C=C(\F)C1=CC=CC=C1,-118.0
O=C(NC1CCCCC1O)C1CCC(F)CC1Cl,-108.79
CC(F)C1=CC=CC=C1,-167.0
[H]C1=C(F)C(F)=C([H])O1,-182.0
CC(=O)NC1NC(C(=O)NC2CCC(F)CC2)CS1,-116.74
O=C(NCC1CCCOC1)C1CC2[NH]CNC2CC1F,-121.79
FC(F)N1C=NC2=CC=CC=C21,-96.0
