SMILES,shift_value
CC1(C)NC(=O)N(CC2CCCC(C(F)(F)F)C2)C1=O,-62.42
CC1CN(C(=O)CC(F)(F)F)C2CCCNC2O1,-62.43
O=C1NCCN1C1CCCC(C(F)(F)F)C1,-62.45
CN1NC(C(=O)NC2CCCC(C(F)(F)F)C2)CCC1=O,-62.47
CC1CC(N)N(-C2CC(C(F)(F)F)CCC2Cl)N1,-62.47
[H]C1=C(C(F)(F)F)N(C2=CC=CC=C2)N=C1C,-62.5
[H]C1=C(C)N(C2=CC=CC=C2)N=C1C(F)(F)F,-62.5
CN(C(=O)CC(F)(F)F)C1CCC2C(C1)OCO2,-62.5
CC1NOC(C)C1C(=O)NC1CCCC(C(F)(F)F)C1,-62.5
FC(F)(F)C1CNCC(CN2CCNC2)C1,-62.5
N#CC1(NC(=O)C2CCCC(C(F)(F)F)C2)CCOCC1,-62.51
NC(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1N,-62.55
NS(=O)(=O)C1CNN(-C2CCCC(C(F)(F)F)C2)C1,-62.57
O=C(CC(F)(F)F)N1CC(O)C2(CC2)C1,-62.59
NS(=O)(=O)C1CNCC(C(F)(F)F)C1,-62.6
CC(N)C1NNC2C(Cl)CC(C(F)(F)F)CN12.Cl,-62.6
CC1CN(C(=O)C2CCC(C(F)(F)F)CC2)C(C)CO1,-62.6
NC1NNC(-C2CCCC(C(F)(F)F)C2)S1,-62.61
CC1CC(C)CN(C(=O)C2CCC(C(F)(F)F)CN2)C1,-62.62
O=C1CC(C(F)(F)F)[NH]N1CC1CCC(Cl)CC1,-62.64
CS(=O)(=O)N1CCN(C(=O)CC(F)(F)F)CC1,-62.65
CC1CC(NC(=O)C2CCC(C(F)(F)F)CC2)N(C)N1,-62.67
CC1NCC(C(F)(F)F)CC1C(=O)O,-62.68
O=S(=O)(C1CCCC(C(F)(F)F)C1)N1CCNCC1,-62.68
CN1CNNC1NC(=O)C1CCC(C(F)(F)F)CC1,-62.69
CC(C)(N)C(=O)N1CCN(C(=O)CC(F)(F)F)CC1.Cl,-62.7
